year,sex,number_of_cm,name,age,group
2001,f,11,藤原　紀香,29,
2001,f,9,田中　麗奈,20,
2001,f,8,広末　涼子,20,
2001,f,8,米倉　涼子,25,
2001,f,7,井川　遥,24,
2001,f,7,加藤　あい,18,
2001,f,7,樹木　希林,58,
2001,f,7,菊川　怜,23,
2001,f,7,水野　真紀,31,
2001,f,7,優香,20,
2002,m,8,中居　正広,29,
2002,m,7,小野　伸二,22,
2002,m,7,香取　慎吾,25,
2002,m,7,藤木　直人,29,
2002,m,6,志村　けん,52,
2002,m,6,木村　拓哉,29,
2002,m,6,草_　剛,27,
2002,m,6,ケイン・コスギ,27,
2002,m,6,石塚　英彦,40,
2002,m,6,役所　広司,46,
2002,f,16,菊川　怜,24,
2002,f,10,米倉　涼子,26,
2002,f,9,飯島　直子,34,
2002,f,9,藤原　紀香,30,
2002,f,8,井川　遥,25,
2002,f,8,田中　麗奈,21,
2002,f,7,伊東　美咲,24,
2002,f,7,優香,21,
2003,m,9,ボブ・サップ,28,
2003,m,8,デビッド・ベッカム,27,
2003,m,8,香取　慎吾,26,
2003,m,8,中居　正広,30,
2003,m,7,浅野　忠信,29,
2003,m,7,坂口　憲二,27,
2003,m,7,Ｇａｃｋｔ,29,
2003,m,7,田村　正和,59,
2003,m,6,志村　けん,53,
2003,m,6,松岡　修造,35,
2003,f,17,菊川　怜,25,
2003,f,9,飯島　直子,35,
2003,f,9,上戸　彩,17,
2003,f,9,黒木　瞳,42,
2003,f,9,藤原　紀香,31,
2003,f,8,白石　美帆,24,
2003,f,8,長谷川　京子,24,
2003,f,8,米倉　涼子,27,
2003,f,7,柴咲　コウ,21,
2003,f,7,田中　麗奈,22,
2003,f,7,仲間　由紀恵,23,
2003,f,7,優香,22,
2004,m,8,松井　秀喜,29,
2004,m,8,デビッド・ベッカム,28,
2004,m,7,草_　剛,29,
2004,m,6,ペ・ヨンジュン,31,
2004,m,6,坂口　憲二,28,
2004,m,6,室伏　広治,29,
2004,m,6,香取　慎吾,27,
2004,m,6,木村　拓哉,31,
2004,m,6,阿部　寛,39,
2004,m,6,唐沢　寿明,40,
2004,m,6,星野　仙一,57,
2004,f,15,上戸　彩,18,
2004,f,10,黒木　瞳,43,
2004,f,10,小雪,27,
2004,f,10,長谷川　京子,25,
2004,f,8,川原　亜矢子,32,
2004,f,7,伊東　美咲,26,
2004,f,7,若槻　千夏,19,
2004,f,7,仲間　由紀恵,24,
2004,f,7,松浦　亜弥,17,
2005,m,8,木村　拓哉,32,
2005,m,8,坂口　憲二,29,
2005,m,8,中居　正広,32,
2005,m,7,香取　慎吾,28,
2005,m,7,草_　剛,30,
2005,m,7,佐藤　弘道,36,
2005,m,7,新庄　剛志,33,
2005,m,6,唐沢　寿明,41,
2005,m,6,山口　智充,36,
2005,m,6,アニマル　浜口,57,
2005,m,6,松井　秀喜,30,
2006,m,9,木村　拓哉,33,
2006,m,8,イチロー,32,
2006,m,8,香取　慎吾,29,
2006,m,8,劇団ひとり,29,
2006,m,8,塚本　高史,23,
2006,m,8,速水　もこみち,21,
