drama_title,drama_category,,,main_actor,start_at
怪盗ロワイヤル,犯罪ドラマ,TBS,土曜0:20 - 0:50,松坂桃李,2011-10-01
妖怪人間ベム,人間ドラマ,日本テレビ,土曜21:00 - 21:54,亀梨和也,2011-10-01
江～姫たちの戦国～,大河ドラマ,NHK,日曜20:00 - 20:45,上野樹里,2011-10-01
南極大陸,伝記ドラマ,TBS,日曜21:00 - 21:54,木村拓哉,2011-10-01
僕とスターの99日,ロマンティック・コメディ,フジテレビ,日曜21:00 - 21:54,西島秀俊,2011-10-01
俺の空～刑事編,刑事ドラマ,テレビ朝日,日曜23:00 - 23:55,庄野崎謙,2011-10-01
ステップファザー・ステップ,コメディーミステリー,TBS,月曜20:00 - 20:54,上川隆也,2012-01-01
ラッキーセブン,アクションドラマ,フジテレビ,月曜21:00 - 21:54,松本潤,2012-01-01
ストロベリーナイト,刑事ドラマ,フジテレビ,火曜21:00 - 21:54,竹内結子,2012-01-01
ハングリー!,料理ドラマ,関西テレビ,火曜22:00 - 22:54,向井理,2012-01-01
タイトロープの女,サスペンスドラマ,NHK,火曜22:00 - 22:48,池脇千鶴,2012-01-01
本日は大安なり,サスペンスドラマ,NHK,火曜22:55 - 23:24,優香,2012-01-01
ティーンコート,法廷もの,日本テレビ,火曜23:58 - 翌0:29,剛力彩芽,2012-01-01
"家族八景 Nanase, Telepathy Girl's Ballad",SFサスペンス,毎日放送,水曜0:55 - 1:25,木南晴夏,2012-01-01
相棒 season10,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2012-01-01
ダーティ・ママ!,刑事コメディー,日本テレビ,水曜22:00 - 22:54,永作博美,2012-01-01
数学�･女子学園,学園ドラマ,日本テレビ,木曜0:59 - 1:29,田中れいな,2012-01-01
科捜研の女 第11シリーズ,サスペンスドラマ,テレビ朝日,木曜20:00 - 20:54,沢口靖子,2012-01-01
聖なる怪物たち,医療サスペンス,テレビ朝日,木曜21:00 - 21:54,岡田将生,2012-01-01
最高の人生の終り方～エンディングプランナー～,ホームドラマ,TBS,木曜21:00 - 21:54,山下智久,2012-01-01
最後から二番目の恋,ラブコメディー,フジテレビ,木曜22:00 - 22:54,小泉今日子,2012-01-01
デカ★黒川鈴木,刑事ドラマ,読売テレビ,木曜23:58 - 翌0:38,板尾創路,2012-01-01
