edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	doc_path	csr_title	csr_path	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00066	18820	7010401020201	東亜道路工業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10059R0	有価証券報告書－第109期(平成26年4月1日－平成27年3月31日)	docs/S10059R0.xbrl				0	1	3	12	5.220024E7	8.7734002E10	4.3090002E9	4.7430001E9	3.27699994E9	7.1635001E10	2.83790008E10	2.83790008E10	6.59E8	13.0	64.6	559.4			7.0903497E10	2.66305004E10	2.66305004E10		12.31	6.69	4.91	5.41	39.62	20.11	2.47	464.0	495.0	386.0	443.0	417.66666
E00067	18840	9010401023409	日本道路株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057I0	有価証券報告書－第110期(平成26年4月1日－平成27年3月31日)	docs/S10057I0.xbrl				0	1	3	12	9.7616184E7	1.39766006E11	8.8170004E9	9.248E9	5.5239997E9	1.35428997E11	6.6721001E10	6.6721001E10	2.19900006E9	25.0	62.78	758.31			1.34523003E11	6.4208998E10	6.4208998E10		8.6	6.87	6.31	6.62	49.27	39.81	3.42	596.0	701.0	549.0	598.0	566.0
E00069	18110	5120001049004	株式会社錢高組	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10059HV	有価証券報告書－第84期(平成26年4月1日－平成27年3月31日)	docs/S10059HV.xbrl				0	1	3	12	7.3531408E7	1.13051001E11	2.23399987E9	2.87699994E9	1.40330004E10	1.44703996E11	5.0059002E10	5.0059002E10	0.0	0.0	195.22	696.4			1.46315002E11	4.2205E10	4.2205E10		33.25	1.97	1.98	2.54	34.59	0.0	0.0	392.0	714.0	310.0	566.0	367.0
E00073	19410	9240001006971	株式会社中電工	2014	FY	2015-06-26	2014-04-01	2015-03-31	S100584Q	有価証券報告書－第99期(平成26年4月1日－平成27年3月31日)	docs/S100584Q.xbrl				0	1	3	12	6.5138116E7	1.33944001E11	8.2130002E9	1.49190001E10	1.00539996E10	2.52418998E11	2.09462002E11	2.09342005E11	3.66E9	62.0	170.84	3553.78			2.45730001E11	2.04184994E11	2.04076007E11		4.93	6.07	6.13	11.14	82.93	36.4	1.79	1871.0	2759.0	1738.0	2678.0	1908.0
E00074	19420	9010401006818	株式会社関電工	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10053B4	有価証券報告書－第101期(平成26年4月1日－平成27年3月31日)	docs/S10053B4.xbrl				0	1	3	12	2.05288336E8	3.89193007E11	6.824E9	7.7810002E9	3.80600013E9	3.22992013E11	1.72653003E11	1.72653003E11	2.86E9	14.0	18.63	845.12			3.20651985E11	1.71654005E11	1.71654005E11		2.22	2.43	1.75	2.0	53.45	75.14	1.67	692.0	895.0	647.0	814.0	694.5
E00075	19440	1120001063033	株式会社きんでん	2014	FY	2015-06-25	2014-04-01	2015-03-31	S1004YT2	有価証券報告書－第101期(平成26年4月1日－平成27年3月31日)	docs/S1004YT2.xbrl				0	1	3	12	2.18141088E8	4.03363004E11	2.2464E10	2.59449999E10	1.60830003E10	4.8993901E11	3.50569005E11	3.50569005E11	4.3399997E9	20.0	74.09	1615.55			4.84950999E11	3.38710004E11	3.38710004E11		4.75	5.35	5.57	6.43	71.55	26.99	1.28	1214.0	1748.0	1151.0	1550.0	1402.0
E00076	19460	8180001038758	株式会社トーエネック	2014	FY	2015-06-26	2014-04-01	2015-03-31	S100518U	有価証券報告書－第97期(平成26年4月1日－平成27年3月31日)	docs/S100518U.xbrl				0	1	3	12	9.6649952E7	1.90790992E11	6.3529999E9	6.6819999E9	3.43100006E9	1.75551005E11	7.5674001E10	7.5674001E10	1.12300006E9	12.0	36.66	808.48			1.68464007E11	7.4426999E10	7.4426999E10		4.61	3.97	3.33	3.5	43.11	32.73	1.51	570.0	954.0	545.0	800.0	585.6667
E00078	19540	2010001016851	日本工営株式会社	2014	FY	2015-09-30	2014-07-01	2015-06-30	S1005YXD	有価証券報告書－第71期(平成26年7月1日－平成27年6月30日)	docs/S1005YXD.xbrl				0	1	33	12	8.6656512E7	6.0471001E10	3.19000013E9	6.1459999E9	5.7139999E9	7.3390998E10	4.8690999E10	4.8690999E10	7.72E8	10.0	75.11	638.28			7.0914998E10	4.6113501E10	4.6113501E10		12.39	8.67	5.28	10.16	66.34	13.51	1.67	488.0	519.0	423.0	442.0	475.0
E00079	18920	5180001038835	徳倉建設株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S1005882	有価証券報告書－第70期(平成26年4月1日－平成27年3月31日)	docs/S1005882.xbrl																																					
E00080	18850	3011101055078	東亜建設工業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S100545Y	有価証券報告書－第125期(平成26年4月1日－平成27年3月31日)	docs/S100545Y.xbrl				0	1	3	12	2.24946288E8	1.86785006E11	4.8519997E9	4.5469998E9	1.65100006E9	1.75933997E11	6.1361E10	6.1361E10	4.25E8	2.0	7.77	288.7			1.74415004E11	6.0068999E10	6.0068999E10		2.75	2.61	2.6	2.43	34.88	25.74	0.71	207.0	348.0	189.0	319.0	202.0
